describe_discussion_employer,describe_discussion_coworker,describe_coworker_discussion_coworker,describe_discussion_previous_employer,describe_discussion_previous_coworker,describe_previous_coworker_discussion_coworker,PH_during_interview_why,MH_during_interview_why,describe_negative_reaction,describe_industry_AOI,other_comments
,I discussed diagnoses and they seemed generically supportive. ,They mentioned they might have a particular diagnosis and might seek treatment,,I talked about possibilities but nothing definite because they didn't seem that receptive,,I feel I have enough bias against me as it is so I would be hesitant,I don't think potential employers want to hire people who say they have mental health issues,Causing stress responses in other people,"Actively talk about it as just a normal part, similar to (physical) wellness programs",
,,,,,,"It depends on the physical health issue and how it would interact with the job. Generally speaking, no, but if I needed accommodations, yes.","Similarly, if I needed accommodations, I would be more likely to. I feel I'd be less likely to discuss a mental health issue, but I've not had a severe mental or physical health issue to know how I'd act for sure.",,"I have seen it become a more openly discussed issue; not just through OSMI, but other people that I know both personally and as public personas discuss how the tech industry handles mental health issues.",nothing
,,,,,,It would depend on how relevant it was to the role. ,,,Continue to reduce stigma. Particularly bad amongst older developers where there’s a cultural difference. ,
,,,,,,,,,,
,,,,,,,,,,
,"I talk with coworker friends about having bipolar disorder when it is relevant in conversations we have - their reactions are pretty much always positive, usually surprised.",A coworker with anxiety told me he was having panic attacks. ,,Just talked and shared stories - almost everyone there had some problems and it was nice to commiserate.,One of our friends and coworkers had a pretty significant substance problem and some of us tried to get her to get help.,May not be relevant to the job.,May not be relevant to the job.,Employees at previous job were made to feel guilty if the stressful work was too much for them.,Stop expecting everyone to work free overtime! I hate that it's an expectation that you code all but 24/7. That's not good for my mental OR physical health.,
,,,,,A couple of co-workers have described the effects of depression and autism on their work.,"It shouldn't be relevant to the work I would do (remote). At the same time, discrimination is still very common.",Discrimination would be almost certain in this case.,A manager wanted to micromanage the effects of the mental illness on the employee's work.,,
,,,,,,,,,,
"I am currently taking a leave of absence from work in order to address some mental health issues I've had. I had an event related to mental health recently, and I knew I needed to address it in a significant way right now, so I told my boss what had happened and that I need to take this time to address it. I went in the next day to stand in front of the whole company to tell them that I would be out for the month to address my mental health.","I've told a number of coworkers about my situation (described above), and everyone has reacted positively, encouraging me to do what I need to in order to get better.",,,,,"I don't think there's anything to be gained from hiding it. If that place wouldn't hire you because of it (and it wouldn't affect your performance, which is unlikely in tech), they don't deserve to have me work there anyway.","I don't think there's anything to be gained from hiding it. If that place wouldn't hire you because of it (and it wouldn't affect your performance), they don't deserve to have me work there anyway.",,I think all companies would benefit from the work OSMI does. I think having an open focus on mental health on the same level as physical health in the organization would be beneficial. ,
"I work for my dad, so I skew weird. When we talk about mental health issues it is to offer support and share what works.",,,,"In past jobs I would open up in situations where there was alcohol. And friends at work were supportive, but we were all drunk or tipsy during those conversations.",The same as above. We would talk about our mental health and feelings when we were drinking together.,I don't want a potential employer to think that I wouldn't be able to do my job or would miss a lot of work.,I would want my potential employer to be thinking about my strengths and I don't think they would understand that dealing with my mental health issues has made me stronger. I wouldn't want them to think that there was anything hanging over my head that would interfere with me doing my job or fitting in in the workplace.,,"One thing that bothers me is that a lot of companies seem to think that being a ""lifestyle"" company means putting up a bar at work. ",
"Have depression, dealing with marital breakup. Let boss know I was having a hard time and was having suicidal thoughts. Reaction was ""If you need to take time off to take care of yourself, then please do so. If there's anything I can do to help, please let me know. If you just need someone to talk to, you've got my cell number."" Later that same day, checked myself into a hospital for a few days, let boss know about it. Reaction was ""If that's what you need to do, please do so to take care of yourself. The work can wait until you're back.""","Discussed my issues with anxiety and imposter syndrome with my team at large. It was a quick conversation with the group, and most had no response. Those that did respond did so in a positive way.","Was after previous conversation had taken place, one co-worker who had reacted positively put me in contact with another co-worker who dealt with a lot of the same issues.",,"Let my co-workers know that I would occasionally have to take unplanned days off because of anxiety and depression. Reactions were mostly neutral, but don't recall any explicitly negative reaction.",,"Would depend on if it were relevant to the position. If it were relevant, I'd bring it up. Mostly though, it would not matter.",The social stigma around mental health makes me leery discussing it with employers until I'm at least somewhat aware of how they'll react.,,"Try to make sure that people are aware that mental disorders are NOT caused by someone being ""weak"" or ""undisciplined"", but that it's often times due to a physical issue (i.e. brain doesn't have as many receptors or has too many receptors for a certain type of chemical, etc).",
,,,,,,Because of the type of implies no mental defects,If I feel I would be judged fairly.,,OSMI helps opens eyes of those who do not suffer mental illness,
"I was feeling suicidal, I told my boss, she was very kind gave me a lot of time, space and support in the following weeks. ",,,,,,Depends on the employer.,"The following thought - "" I am already judged for my skin color and geo-location. Why would I want to _reduce_ my chances of getting employed.""

I know some employers are open and supportive but Its really hard for me to trust people openly especially about mental issues as the IT jobs are entirely dependent on mental performance.",,"The tech industry is filled with trolls and fiends who like to feast on people's emotional state. Its a highly competitive field and people actively use this against other, for instance a socially inert chat group on StackOverflow - filled with people some of which are not very good talking to people openly and suffer from severe pitfalls gets targeted on twitter for days. Why? Because they were a little rude to someone who wasn't trying to participate in the chat actively. The person who tweets gets glorified but as a result this safe-place gets destroyed.",
,,,,,,They discriminate even if it's illegal.,They assume all mental illness = serial killers.,,We should talk about mental health as much as we do physical health. We tell people not to come in if they're sick but no one talks about mental health days.,
,,,,,,I don't trust companies to not hold it against me,I don't trust companies to not hold it against me,,,
,,,,Telling why I was leaving (illness of family friend I was living with),,,,,,
,,,,"I worked in a mental health provider setting so I talked with a few of my close colleagues about our own mental health, including both professional issues like projection and secondary trauma, as well as individual mental health topics like stress and mental wellness practices, anger, depression (not mine, but my coworkers'). ","I don't remember exactly, but many of the people I worked with were peer mentors who worked in mental health and also lived with their own diagnoses. ",It could hurt my chances of being hired,It could hurt my chances of being hired,,"prioritize wellness and balance, provide early intervention without judgement- mental/emotional  first aid and positive preventative care",
,,,,,,,,,,
I shared my anxiety and occasional panic attacks. They were supportive.,They were supportive,,,They were supportive,,,It would depend on the employer,,,
,I've had many conversations with a single coworker about our similar struggles with depression issues (not diagnosed). He's also felt comfortable talking to me about his anxiety which affects his sleep.,His anxiety was affecting his sleep to the point where he pretty much couldn't sleep. He's not on medication for that (relating more to the sleep than anxiety I believe),,,,"I try and be pretty open and honest with people, and I think I would be with a potential employer if it was relevant.","I'm not really sure. I feel like it would be a very uncomfortable situation, but if it seemed necessary I would like to think that I could bring it up.",,"I'm not entirely sure. I think the tech industry might be one of the more accepting industries, but there's still a pretty big stigma attached to mental health issues.",
"We discuss our stress/happiness levels at company summits summarized as “how’s going?” in an optional 1-5 rating in the past but shifted to an open ended picture-based rating that doesn’t have contextual meaning. Yes, this might be confusing to explain. In addition to choosing a picture that represents our recent state we may optionally describe a bit about this. It is not anonymous but these meetings are considered safe spaces. I feel I would not be comfortable diverging specific mental health care or mental health issues other than generic status. ",,,,,,I think that I would probably mention anything relevant to the job that I may need. I’m not sure into how much detail i would discuss it. I would not consider a potential employer that would not accommodate a potential physical need ,I am afraid of how to be honest enough with a medical professional about my personal life so until I overcome this I could not attempt to discuss my inner thoughts about myself to a potential employer. I realize this is dishonest of me as a potential employee. ,,I don’t know. I don’t feel qualified to answer. ,"I feel like I cannot be completely honest with medical professionals about everything and every thought I have, and I think that I should not waste anyone’s time as it might result in misdiagnosis. "
,,,,,,,,,,
,,,,,,,,,,
,,chatted about stress & burnout ,,,chatted about stress & burnout,because it might disqualify me for the work. i know that's illegal but lol,because it might disqualify me for work. i know that's illegal but lol,,therapy should be covered by health insurance benefits,
,,,,"very brief conversations, not very detailed.  Mostly about stress and anxiety related to management practices.  My coworkers were supportive.",Also related to stress and anxiety about management practices and ethics.,Depends on whether I believe the issue is pertinent to the job interview and my performance on the job.,Same as previous: depends on if I think it's pertinent to my performance on the job.,,There is a lot of pressure to perform and accomplish a lot of work quickly.  More open acknowledgement of how common mental health issues are and how high pressure situation can create mental health issues would hopefully destigmatize them.,
,,,,,,I would only bring up a physical health issue if it directly impacted my needs or ability to perform the job.,I would only bring up a mental health issue if it directly impacted my needs or ability to perform the job.,,,
,,,,,,,,,,
,,"Panic attacks, issues with folks touching them / space respect, etc. Person was mostly looking for someone to talk to about / help them when they were uncomfortable telling someone they were too close. ",,,,Sometimes required flexibility for WFH vs commute  due to pain of commute. Some interview orgs do not like WFH / remote options regardless of reason,Already so much judgement in an interview. No need to add distinct marker to your interview,,,
,"I have had some open and honest conversations about what I've gone through mentally as it pertains to my job functions and getting through life. The reactions were generally accepting and positive. Contextually, we both work on the community team and it was during travel and not official ""work"" time.",This was during the same conversation sharing our own experiences,,,,"If I felt the physical health issue might interfere with work I would bring it up. If not, I wouldn't.","This would depend more on where I'm at treatment wise, but I would be nervous that it may affect my chances of getting the job over a similarly able candidate who does not have a mental health disorder.","The only event that comes to mind is a previous co-worker talking about their inability to believe that depression is a thing. It was hard for me to understand their stance. 

There may have been other circumstances but I do not recall them at this time.","I think slowly restoring the ""self-care"" time of employees is a big first step. Having the ability to disconnect from being responsible 24/7 for the health and wellbeing of a computer service is important. And not just on scheduled vacation times, but regularly and generally as a rule. 

The best thing I've gotten is being in a results-based work flow. I'm not required to be at work at a time, but to get work done. This allows me to have my own Self-Care moments or days without worrying about not being ""there"" for work.","Overall, I think I am well accepted at the place I work now, but that it is a rare place in the startup world and in the world in general. I'd be much more comfortable talking to this workplace about mental health issues than any other workplace so far. Previous work places includeded US Government, Metal (like steel/aluminum) company, and a small business. Being on a ""community"" team could affect that as well. 

I don't know if that's an indication of changes in the tech industry or a microcosm, but probably worth mentioning."
The group I work in is a small tight knit group within a much largerborganization. We discussed different anxiety levels in our day to day job and how we can help each other with recognizing and reducing anxiety.,,,,,,,,,,
,,,,,,To be upfront with the condition.,worried about preception.,Allowing substance abuse problems to escalate to the point the only option was to fire the person when everyone knew.,The industry is very focused on productivity to the point that anything that takes away from it is hidden.,
"We've discussed the reasons behind my leave of absence (suicide idealation, stress, anxiety, depression). We've discussed bipolar disorder, depression, anxiety. He has been very supportive.","Similar to the ones with my boss, although probably in more depth.","Stress, anxiety, depression",, , , , , , , 
,,,,,,,,,,"It would be more helpful to have answer options be 1,2,3 than A,B,C from a usability standpoint."
,,,,,,"Because it's commonplace and ""normal"" to accommodate for those issues.",Because of the associated stigma and peoples' assumptions about what the issue mean.,"People reported a male for escaping to the employee ""wellness room"" during a panic attack so he could take care of himself. The reporters said that only breastfeeding mothers could use that room and scolded him because ""males aren't allowed in rooms without windows"".",Be proactive and open about it. Actively talk about it in the workplace and normalize these things instead of waiting for incidents to happen. Change the mindsets and promote an open culture.,
,,,,,,,,,,
,"Describing my condition, what medications I took. Usually heard that they have similar things going on.",Mostly commiseration bout our respective conditions.,,,,"I've got enough reasons for them to say no without adding more, lol.",My condition is reasonably manageable and wouldn't be an impediment when being managed.,,Keep trying to eliminate the stigma of it.,we cool
,,,,,,I would be concerned that bias (unconscious or otherwise) would affect my chances of being selected.,I would be worried that I wouldn't be selected because of it.,,,
,,,,,,It might affect the chances of getting the job.,,,,
"had an emergency at work, so i had to",they seem to be understanding,,,,,not a good idea,not a good idea,"my boss tried to use it against me, hoping to make me quit",,
,,,,,,I know i will be okay / be able to work around it. If i didn't think i could i would not take the job.,I know i will be okay / be able to work around it. If i didn't think i could i would not take the job.,,,
I told my supervisor that I was under a lot of stress and was experiencing a lot of rage at home. My supervisor listened. He then offered some personal suggestions and suggested I take advantage of our company's medical health perks.,,,I told my supervisors about stress related to my job and how that was affecting my life at home and how I interacted with my familly.,,,"Physical health issues that are related to my job performance will definitely be brought up. If it's not related to my job performance, I may leave them out because I'd be concerned about it costing me the job.",Mental health issues carry a stigma that I believe would make it very difficult get a job if disclosed openly.,,There should be a greater understanding of how our work is affected by mental health issues. Employers should know that everyone has a health issue of some sort (or will occasionally) and it's not something that should carry a stigma.,
,,We have talked about grief and bereavement in the context of close deaths. ,,,,I would not want to be discriminated against.,To prevent discrimination.,,"Talk about it more, encourage working fewer hours, taking longer breaks, better work/life balance","I think this issue is very very different for people who are already marginalized in tech (e.g. women, people of color, etc).  It's very hard to make genuine connections when you are marginalized, which means any mental health problems you have are born by yourself alone.  Plus we are often working harder to prove ourselves which leads to stress, anxiety, depression, and more."
"I informed my direct supervisor at the time that I had diagnosed MDD/GAD and that, while it was currently well-managed, it's possible that it would affect my work. She acknowledged what I was saying but never asked about it again. I have unlimited sick leave and they never ask questions, so it's never been an issue since.","I informed my coworkers of my existing condition and how it can affect my work, energy level, etc. but also how I have worked to address it and overcome it when it gets hard. They were supportive and several subsequently shared their own experiences with mental illness.","After I shared my own experiences, several of my coworkers have shared their own struggles in kind.",,,,Not unless it interfered with my ability to perform my job.,I would not want to give them a prejudice against me. It's none of their business at that point re: whether they would hire me or not.,,"Keep talking about it and breaking down the stigma. Outright offer ""mental health days"" or make it clear that ""sick days"" can and should be used to deal with mental illness, exhaustion, stress, etc. Stop treating it as different from a physical illness.","Overall, I think the tech industry or at least big corporations in tech have done a decent job of leading the way in providing open, safe spaces to either talk about mental illness or receive support (either internal or via external resources)."
,,,,,,It would negatively affect my chances of getting the job regardless of what they may say.,"No one wants someone with ""issues"", esp. mental ones working for them, esp. within an industry that relies on their brain.",No comment. I will say it was harsh.,They don't care about your mental or physical health. They just want deliveries and there is never a break. The inefficiencies caused by mismanagement come down to the dev/qa teams to make up that time. They expect factory work and treat you are replaceable if you don't keep churning out code.  ,
,,,,,,,,,,
"I disclosed my OCD/anxiety issues, and I felt safe and heard. Next steps included allowing for any accommodations I needed, including working from home more often.","It's always been well received, I've felt supported. However, I've only disclosed to folks who I anticipated would be supportive.","It was mentioned that this colleague was suffering from depression, and I was asked for advice on how best to support.","I disclosed my OCD/anxiety to my whole team. It was awkward, but they were ultimately caring and supportive.","Again, I only disclosed when I felt safe enough to do so. I felt supported and heard by those folks.",,"Depends on the physical issue, but on the whole if it affected my ability to do that job I would likely mention it.","I've never felt safe enough to do so at that early stage, because of stigma.",,"Less stigma, more open discussion.",
,,The discussion involved accommodating needs to support treatment of depression and anxiety.,,,,I would only bring it up if it was about necessary accommodations or the type of work I could do.,I don't foresee as much necessity for needing accommodations or accessibility.,,,
,,,,,,possibly reason to be not hired,possible reason to not be hired,,less of a stigma,
"I had to tell my manager that my psychiatrist was putting me on a three-month leave for severe depression and anxiety, so I could attend a partial hospitalization program. He was neutrally supportive but clearly uncomfortable with the topic.",,,"At a previous job at a startup, I attempted to inform both my manager and the CEO about my MH problems. The CEO told me not to worry about it because ""we're all family"" and ""your health is the most important thing."" The manager just stared at me. Two days after my conversation with the CEO, I was ""laid off"" and lost all medical and MH benefits.","After a large layoff in 2002, a group of four of us on the same team were affected with MH problems. At least two of us, including myself, have suffered with severe clinical depression ever since then. I have been to PHP and looked into getting experimental ketamine therapy; my friend/coworker became suicidal and underwent six weeks of ECT.",See above. We were a miniature support group for one another's MH issues.,"It's none of their business. Even after I'm hired, they shouldn't be looking at my health-insurance claims.","Same reason as above. Additionally, my MH problems have resulted in several extended periods of absenteeism, and I do not want potential employers to know about that.","After I returned from my medical leave to attend PHP, I was shunned by pretty much every staff member at my site. No one would talk with me or even make eye contact with me. I needed support more than ever and my extended team isolated me, increasing the intensity of my symptoms.",Acknowledge that MH issues are real and have a profound impact on tech workers who use their brains to work. Depression has blunted my memory to the point where I don't remember simple things (I have any number of Stack Overflow bookmarks). The treatments are often as bad as the diseases. My antianxiety medication makes me fuzzy and apathetic. My friend who had ECT suffered *severe* memory loss and was unable to do her job for several weeks even after she was medically discharged.,"I have been illegally fired from TWO tech jobs secondary to depression. In both cases, management was unwilling and/or unable to provide any support. I would have been much better off having had a stroke that took away half my brain function."
,,,,,,,,,,
,,,I revealed depression as context for a conflict and was given grace and freedom to do what I felt I needed to do to cope.,Mental health conversations were a normal part of work chatter. Everyone tried to give space and consideration for each other.,A former coworker and I had several conversations about depression and anxiety.,I would only talk about health if it were relevant to the job. I fear oversharing.,If it was relevant I would mention it in a second interview.,Anxiety was mocked in a woman who needed support.,Normalize treatment and suffering. Let people have space to deal with issues and do their best work. ,
,speaking about depression and bi-polar and medicines and effects,,,"speaking of depression and stress, as well as adhd",,its more socially accepted,bias,,it is more socially understood and acceptable in the tech / younger environment,no
I discussed my diagnosed depression and anxiety with my manager; it was largely dismissed with little accommodation afforded during times of extreme distress. ,I shared my experiences with others who shared the same. It was therapeutic. ,We spoke about how work was impacting their mental state and it helped me understand and better relate and accommodate that individual. ,,I explained how stress and anxiety impacted me and they understood and were accommodating. ,,Insurance costs and bias might lead to equal weight candidates being eliminated based on preexisting conditions or perceived ailments that might require time off. ,"Employers largely don’t understand mental illness. Many feel like mental illness equates to instability, violence, decreased potential, and other traits detrimental to the business.",One of my similarly affected colleagues needed time off as he reached a breaking point. He was harangued for being needy and shuffled around to other groups instead of being given the time needed to heal. ,"Employers need to understand what mental illness is, that it shouldn’t be a stigmatized condition, and that there are ways to help those who suffer just like they’d help someone with the flu. ",
,,"Dealing with depression, stress, etc.  Desire to leave technology-focused employment due to those issues.",,,"Depression, stress and the desire to leave the technology field due to these issues.",Far too personal unless it interferes directly with work.,People tend to discriminate and give you looks of overbearing concern/judgement when you mention these types of issues.,Difficult to explain in a limited capacity like this.,"Become more involved in the acknowledgement and support of these issues.  Training of leadership to know how to deal with different issues and even use them to the employee's advantage when possible is important.

And yes:  I do believe you can use things to an employee's advantage/advancement (such as hyper-focus).",
,"At a previous job, I was able to talk about anxiety and depression and the counselling and meds I got for them.","The stress of his job made a coworker tear up while on a video chat, prompting a heartfelt discussion about his depression and uncertainty. Our CPO (Chief People Officer) has been talking with him, but I don't know what (if anything) has happened as a result.","I mentioned earlier in this survey that I spoke with a supervisor and coworkers about anxiety and depression that I was experiencing (some of which directly related to work stress), and the counselling and medication I received as part of the treatment plan.",Same as above.,"We had an employee at my previous employer who dealt with episodic depression, and we created a work plan together with him to help make work manageable for him.","Physical impairment is viewed as weak, fearful, or lazy by a lot of employers.","Potential employers are looking for stability, and I would be worried that they'd view any mental issues as a red flag.","I've seen managers treat employees with more prejudice about the intent or cause of an employee's actions, thinking less of them. ","I think that the tech industry overworks employees, and because of the intellect required to do some of this knowledge work, they assume that mental health issues are in direct opposition to that work. People work long hours without much consideration for their well being.",
,,,,,,I would be worried it could hurt my chances at the job.,I believe it would hurt my chances of getting the job.,,Discuss mental health more openly.,
,,,,,,,,,,
,,,"Once I quit a job because of stress and relationship strain, having that conversation was pretty easy with the manager and not so easy with the CEO. Another company, during a divorce with my first wife, I became quite depressed and it was starting to impact my performance, attendance, etc. The manager of that company sat me down and asked how he could personally help.","I frequently try to express my levels of stress or anxiety without being negative. Also, I'd like others to know if I'm not feeling well mentally so that we don't run into a situation where one of us is causing a problem to the other.",I've found out from coworkers that they struggle with depression for years while we worked together and I never knew about it. Crazy how well the tech/professional world hides this stuff.,"Depends on the issue. If it's irritable bowel syndrome, I probably wouldn't. But, if something will take me away from work (even mentally) I'd let them know so we could work around it.","Again, depends on severity of situation. I wouldn't be in an interview if I had severe depression or cripling anxiety episode, but, I may let them know that it happened if it just did.",,"Be more open about it, first and foremost. The technology field is super emotionally disconnected. Which is interesting, because I imagine there's a fair amount of autism genetics floating around in the field—which are known for less emotional response. More talks at conferences, more awareness campaigns and things of this nature will help a lot with the emotional wellness of the industry and, since the industry has such an impact on modern life, the emotional wellness of a lot of walks of life. ","I think it may be good to speak to wellness in terms of addiction as well. I've known quite a few folks in the industry with addition issues—be them drugs, overworking or social media. Which is interesting because those are the people introducing addicting features of software to the rest of society."
,,,,,,,,,,
,,,,,,If it was relevant or I needed accommodations.,,,,
,,,,,,,Prevalence of hostility towards those with mental illnesses and high risk with minimal benefit as I can mostly manage symptoms,"Hostility, bullying","High stress cultures and burnout can exacerbate mental health symptoms in those prone to them. Treating employees like people, not machines, helps. Flexibility and open mindedness help.

As tech has become more mainstream, tech jobs have become less friendly to people with quirks and eccentricities.","Autism spectrum conditions are common in tech, so this should be a category to choose from."
,,,,,"Depression management techniques, recent low points.","If it's relevant to the job, it seems like a thing to bring up during a good-faith interview","If it's relevant to the job, it seems like a thing to bring up during a good-faith interview",,Magically make everyone more empathetic,
,,,,,,Physical health is typically much shorter term than mental so I feel like it wouldn't matter TOO much.,Feel as if it would be a deal breaker and would immediately get looked over.,"Previous job worked me for 60+ days in a row until I had a mental breakdown to which I got told to ""suck it up and deal with it"" or else I would be fired.",Offer more mental health care and make sure employees are okay.,"Not at the moment, no."
,,,,,"I was their manager. They asked me to lunch, were very upset, I tried to be supportive, as did the company.",I want the job.,I want the job.,,I haven't worked anywhere with good management that could improve on this specific issue.,
"I have had many, including needing to take leave. They were supportive and my leave was approved.",I am very open about my mental health and often discuss it on facebook or at lunch. Most people are pretty receptive.,They have opened up to me after I opened up.,,,,Depends on how it would affect the job.,Doesn't necessarily seem applicable if treatment is going well.,,"Be more flexible with time-off, be more open to talking about it.",
,"I've discussed having ADHD with several co-workers, most of them responded positively or were surprised.",,,"I discussed my ADHD with two other co-workers, one who was suffering from depression and another who also had ADHD.",Other co-workers would talk to me about their mental health issues. I also experienced people speculating about another employee's mental health when there were visible signs they were not doing well.,Fear of discrimination,Fear of discrimination,"At previous employers, there was a general disregard for employee mental wellbeing via unreasonable deadlines and workloads, which  produced situations that encouraged burnout, frustration, stress, etc. This was especially hard on several co-workers who had existing mental health issues and worsened their symptoms.","I think a lot of the tech industry pushes people towards burnout by encouraging people to be constantly working, both at work and outside of work. There's a general idea that making things at work isn't enough, that your job should also be your hobby outside of work. I think this is unhealthy and people should have different outlets and interests they're pursing in their free time. We don't expect people who do sales to be selling outside of work, why expect people who code for a living to also be coding outside of work?",
,,A coworker mentioned that he had been seeing a therapist for several years to help with an anxiety disorder and felt that he was in a much better place now than when he had started.,,,,"It would depend on whether I felt the issue might interfere with my ability to do the work. If so, I would point it out ahead of time to make sure the employer was okay with it.",I don't share this information with anyone.,,"For my issue, all that I want is privacy, and I feel that every employer for which I've worked meets that requirement.",
"The conversation was with a professional employee counselor, as part of the employee assistance program program. They were very professional and provided professional level advice.",,,,,Worry about another worker's mental health,I feel it would put me at a disadvantage,I feel it would put me at a disadvantage,,Provide free professional services,"My dad worked as a programmer when I was very very young. When I was about 4 years old, he was diagnosed with Manic Depression and Bi-Polar disorder. His job would not tolerate it or work with him and ended up going on total social security disability and quitting his job. This put our family in deep poverty. Not sure why I'm sharing this, except that I hope others don't have to go through the same thing."
,,,,,A few people have mentioned having anxiety problems or ADD.  Very rarely anything else.,I have seen such things handled badly so many times that I have absolutely no trust in it being handled well anywhere else.,"I have never seen it handled well anywhere, I am not telling strangers.","Primarily people act very supportive to the person's face but make it difficult for them to take time off, criticize the person's work quality, and leave that person out of group activities after.",Better support/training for people so that everybody isn't expected to perform at 1000% 24/7 in a way that is particularly unsustainable with mental health issues.,I am more worried about being treated as inherently fragile or unreliable due to my mental health condition than I am that I would be fired.  I can't afford that to happen to my career.
,,,,,,depends on the issue ,depends on the issue,,more resources. especially as a large amount work from home,
,,,,One coworker suggested from my behavior that I might have undiagnosed OCD and that I should consider talking to a professional.,Coworker described his counselor and the effect she was having on his health.,"While hiring discrimination is technically illegal, it is difficult to prove with aggregate data and impossible to prove from a single case. If your prospective employers discriminate by disability, you're looking at years of unemployment before recovering damages.",Same as physical health. It's too hard and takes too long to prove discrimination.,,Not sure. This is a problem with broader societal forces in my opinion.,
"I've had this discussion a ton of times. Most recently, we had a conversation where they told me I wasn't performing well enough and they were considering putting me on a PIP - after I'd told them I struggle with anxiety. Prior to that, I'd had a conversation with my manager where he was applying heavy pressure for a deadline and I tried to explain that high pressure escalates my anxiety makes me freeze and become less productive. He told me he likes pressure and maybe I didn't belong in that workplace.","I try to be pretty open about my mental health with my coworkers, so this has happened a bunch. Often, I try to explain that the way daily checkin meetings are run is anxiety-provoking and decreases my productivity. Some are more understanding than others. My perception of the ""typical"" reaction is that they tell me I should go take a walk, or watch cute cat videos, or other armchair advice that really isn't sufficient for significant GAD/severe depression. That feels frustrating.",Usually I start the conversation about my mental health. And then people will sometimes disclose their own struggles with anxiety or depression or other mental health concerns.,,,,,,,"Stop glorifying high-anxiety positions and portraying ""crunch-time"" as an industry norm. Alternately, make it possible to search for jobs that are sensitive/understanding around mental health concerns and don't raise anxiety as a standard management technique.",
,,,,Just mentioned the stress and anxiety I was experiencing.,,"I would if I needed special accommodation, but otherwise I wouldn't. I would be hesitant either way.",I believe it would be off-putting and bring into question my competency. I feel it would hurt my changes of getting hired.,,"Work towards removing the stigma and focus on mental/emotiona/physical health. Often the industry values you as a productive worker, not a complete, holistic, and healthy individual.","Especially as a women, I worry about being perceived as emotional/hysterical/dramatic when it comes to what I divulge to my mostly male coworkers and employers."
,,,,,,"There is literature encouraging manager not to hire or continue to employ individuals who admit to having personality disorders or mental illnesses, and those with obvious mental illnesses or personality disorders are regularly bullied and are terminated with extreme prejudice.",An interview is a time for a potential employee to convince a potential employer of the benefits of bringing them into an organization. It is not a time to disclose weaknesses or disadvantages.,"I know an employee who was fired over behavior related to autism spectrum disorder, and employee who was fired due to diabetic-induced memory loss, and I was personally bullied for ADHD-related behavior at work.",I'm not sure there is a solution in a context where profits dictate decision making - ie capitalism.,"There has been covert and open discrimination against employees with personality disorders and mental health issues everywhere I have worked, because there very little is done to pursue civil compensation for workers who are targets of mental health-based discrimination. Any type of disability is a severe liability in this industry, so the majority of sufferers actively work to keep their situations secret."
,,They speculated about why another coworker would need to take time off; it wasn't a positive conversation. ,"My previous employer was much more understanding and accepting of mental illness, as they were bipolar themselves. ",,,I don't want to be seen as weak. ,I wouldn't want the stigma of being unstable. ,"A coworker was threatening self-harm in her office; the campus police were called in; she was removed, and then dismissed. She became the subject of rumors and gossip, and eventually left. ","Stop lionizing and promoting manic episodes as normal or desirable methods of producing work. The culture doesn't allow for enough self-care — when you have to work 12+ hour days, then respond outside office hours to emails/IMs, it's difficult to build in enough time to sleep enough, or take breaks for meals, or exercise, or meditate. The glorification of people who spend their entire lives working in a frenzied trance state is extremely difficult to live up to, and a potential trigger for mania. ",
,,,Once i chose to confide in a manager about my battle with major depression and recovery from addiction/alcoholism. They later threw it in my face when I decided to quit and used my past honesty to insult me.,"I became close enough to consider some of my past coworkers friends. I was able to open up to them about medications I was taking, seeing a therapist, and the struggles I was going through. These friends were very supportive, some ended up asking for advice about getting their own therapy. It was really a relief to have people I could trust and be honest with at work, if I was feeling extra bad on some days.","One coworker used to tell me about his experiences with anxiety-- we considered each others friends by this time. Another former manager who moved into another department opened up about his recovery from addiction, which allowed me to speak to him about my own experience. It was helpful to have someone at work who could understand me in that regard.","I would not want to come across as a complainer, I wouldn't want that to cost me the job.","While I think we've made a lot of progress in accepting mental health issues and being more open about them, I still think there is a heavy negative bias. If it came down to me and another equally qualified candidate, I wouldn't want to worry that my mental illness cost me a job. I wouldn't want to be seen as a liability. Also due to my previous negative experience with being open with a manager about my mental health issues, I'm much less likely to open up to anyone in a position of power about it at work. The manager was initially supportive, but later used my conditions to insult and degrade me.","One manager at a previous job opened up to me about being in recovery from alcoholism/addiction, and so I opened up to them about it. Unfortunately, this first manager moved into another department and I got a new manager. I decided to be open with the new manager both about my recovery status and having major depression. At first they were supportive. Then, when I decided to quit, they said a lot of extremely hurtful things including calling me lazy, saying that I wanted people to hold my hand, and many condescending comments such as ""Are you sure you should really quit your job right now with your 'condition'?"" all which essentially resulted in gaslighting, since they tried to refute every reason I listed for quitting by saying it was all my fault.",State explicit support for taking sick days for mental health issues. State explicit support for employees who are dealing with mental health issues and say that they are just as important as physical health issues. Offer health insurance plans that subsidize or cover mental health. Be more aware of addiction/alcoholism recovery and be more sensitive/sensible with work events.,"In germany at least, compared to the USA, doctors notes are extremely respected and must be accepted for days off. The employer never knows the reason for the doctor's note and they can't force employees to work. I used to live in the USA and always had a hard time getting sick days at all, and worrying about the reason was a major source of stress. It's at least easier to take mental health days discreetly in Germany, which adds a lot of comfort to my life."
